epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,5571.68,1.5646,1.432,1.70869,0.39833,0.4333,0.39234,0.20071,1.70908,1.63849,1.89776,0.000297081,0.000297081,0.000297081
113,5620.44,1.58372,1.42821,1.7089,0.42977,0.40824,0.38802,0.19624,1.72909,1.69447,1.90943,0.000289749,0.000289749,0.000289749
114,5669.09,1.59885,1.47351,1.73542,0.36509,0.43875,0.37365,0.19512,1.71545,1.69764,1.89095,0.000282416,0.000282416,0.000282416
115,5717.85,1.54822,1.3793,1.67877,0.42854,0.41936,0.39007,0.19464,1.73024,1.68412,1.91491,0.000275084,0.000275084,0.000275084
116,5766.58,1.55624,1.40247,1.69985,0.41691,0.41771,0.38617,0.19349,1.71401,1.65689,1.8941,0.000267751,0.000267751,0.000267751
117,5815.34,1.55685,1.41234,1.70229,0.42827,0.39439,0.37923,0.19164,1.71876,1.67862,1.90097,0.000260418,0.000260418,0.000260418
118,5864.16,1.55644,1.40191,1.6976,0.42571,0.4418,0.39626,0.20382,1.70792,1.63605,1.88953,0.000253086,0.000253086,0.000253086
119,5912.69,1.52956,1.38291,1.68483,0.38861,0.41771,0.38183,0.20088,1.7125,1.63707,1.89002,0.000245753,0.000245753,0.000245753
120,5961.98,1.58034,1.39293,1.6774,0.42489,0.39641,0.38468,0.19423,1.7205,1.67615,1.90393,0.000238421,0.000238421,0.000238421
121,6010.84,1.58005,1.38459,1.69608,0.39757,0.42079,0.39508,0.19663,1.71126,1.70541,1.8928,0.000231088,0.000231088,0.000231088
122,6059.48,1.537,1.36719,1.67067,0.42256,0.41324,0.38594,0.1983,1.71597,1.662,1.89235,0.000223755,0.000223755,0.000223755
123,6108.01,1.53683,1.37566,1.66967,0.41136,0.41421,0.38816,0.20064,1.70681,1.64795,1.89421,0.000216423,0.000216423,0.000216423
124,6156.6,1.52394,1.38165,1.70158,0.4059,0.42497,0.38913,0.20016,1.7224,1.65849,1.90987,0.00020909,0.00020909,0.00020909
125,6205.37,1.54952,1.3787,1.67656,0.4458,0.4491,0.40343,0.20192,1.73118,1.64134,1.9134,0.000201758,0.000201758,0.000201758
126,6254.12,1.57803,1.40172,1.70197,0.43942,0.43919,0.40444,0.20275,1.72007,1.62571,1.90489,0.000194425,0.000194425,0.000194425
127,6303,1.55868,1.36374,1.67551,0.45397,0.43811,0.40265,0.19997,1.70087,1.64188,1.87847,0.000187092,0.000187092,0.000187092
128,6351.73,1.53821,1.36561,1.67085,0.431,0.41397,0.38921,0.19864,1.71816,1.63846,1.91825,0.00017976,0.00017976,0.00017976
129,6400.42,1.55022,1.35065,1.662,0.448,0.43478,0.40098,0.19644,1.73776,1.6678,1.92687,0.000172427,0.000172427,0.000172427
130,6448.89,1.5299,1.35001,1.66975,0.45084,0.43802,0.40214,0.2036,1.721,1.63627,1.90493,0.000165095,0.000165095,0.000165095
131,6497.36,1.55548,1.38769,1.69246,0.42954,0.45051,0.40394,0.20972,1.69977,1.59707,1.89756,0.000157762,0.000157762,0.000157762
132,6545.99,1.51261,1.31888,1.65325,0.44331,0.43131,0.40545,0.20065,1.72024,1.61119,1.90859,0.000150429,0.000150429,0.000150429
133,6594.52,1.53052,1.37149,1.66415,0.42599,0.43131,0.40353,0.20612,1.70873,1.62628,1.9011,0.000143097,0.000143097,0.000143097
134,6643.4,1.5413,1.36957,1.67461,0.46469,0.41088,0.39384,0.20247,1.70829,1.67795,1.89322,0.000135764,0.000135764,0.000135764
135,6692.01,1.55478,1.36322,1.66027,0.44779,0.42669,0.39682,0.20228,1.70459,1.64241,1.90095,0.000128432,0.000128432,0.000128432
136,6740.63,1.52002,1.37051,1.68041,0.42589,0.43058,0.39471,0.1995,1.71487,1.64177,1.90395,0.000121099,0.000121099,0.000121099
137,6789.47,1.52891,1.35194,1.63968,0.43037,0.44754,0.40091,0.198,1.71804,1.65709,1.89684,0.000113766,0.000113766,0.000113766
138,6838.24,1.54357,1.33896,1.64902,0.42629,0.42629,0.38982,0.19804,1.70466,1.65831,1.88572,0.000106434,0.000106434,0.000106434
139,6886.85,1.49785,1.31496,1.64608,0.42413,0.42074,0.38598,0.20226,1.70441,1.6492,1.89332,9.91012e-05,9.91012e-05,9.91012e-05
140,6935.59,1.50112,1.33376,1.66011,0.43509,0.4227,0.39751,0.20318,1.70823,1.63651,1.90211,9.17686e-05,9.17686e-05,9.17686e-05
141,6982.96,1.52878,1.40468,1.65648,0.43307,0.40673,0.38126,0.19859,1.72773,1.65293,1.91597,8.4436e-05,8.4436e-05,8.4436e-05
142,7030.37,1.53491,1.3728,1.66293,0.43637,0.4022,0.38625,0.20007,1.7374,1.6554,1.91503,7.71034e-05,7.71034e-05,7.71034e-05
143,7077.7,1.48737,1.29561,1.6341,0.44656,0.43293,0.39973,0.20225,1.72729,1.66477,1.90287,6.97708e-05,6.97708e-05,6.97708e-05
144,7125.16,1.52369,1.33877,1.67355,0.44117,0.42838,0.39839,0.20507,1.71876,1.62846,1.91385,6.24382e-05,6.24382e-05,6.24382e-05
145,7172.42,1.4938,1.30622,1.65168,0.44308,0.41463,0.39599,0.20232,1.71631,1.63592,1.91541,5.51056e-05,5.51056e-05,5.51056e-05
146,7219.85,1.51826,1.31081,1.66267,0.48709,0.40686,0.40389,0.20394,1.71596,1.65724,1.90593,4.7773e-05,4.7773e-05,4.7773e-05
147,7267.2,1.49758,1.344,1.6428,0.46259,0.40754,0.40049,0.2015,1.72412,1.66253,1.90547,4.04404e-05,4.04404e-05,4.04404e-05
148,7314.62,1.50499,1.30648,1.64083,0.50919,0.39004,0.40054,0.20349,1.72039,1.63801,1.90522,3.31078e-05,3.31078e-05,3.31078e-05
149,7362.09,1.48298,1.2709,1.62533,0.47774,0.39167,0.39994,0.20266,1.71801,1.64901,1.90634,2.57752e-05,2.57752e-05,2.57752e-05
150,7409.67,1.47195,1.2472,1.61691,0.49149,0.38836,0.39988,0.20115,1.7186,1.65284,1.91195,1.84426e-05,1.84426e-05,1.84426e-05
